cck,hm3,wd-cno,wd-sal,fd-cno,fd-sal
Feeding,,82.0,82.0,82.0,82.0
Num Feed Bouts,,4.0,4.0,4.0,4.0
Len Feed Bouts,,5.25,5.25,5.25,5.25
Lico,,291.0,291.0,291.0,291.0
Num Lico Bouts,,2.0,2.0,2.0,2.0
Len Lico Bouts,,129.5,129.5,129.5,129.5
""
grp,hm3,wd-cno,wd-sal,fd-cno,fd-sal
Feeding,,33.0,33.0,33.0,33.0
Num Feed Bouts,,1.0,1.0,1.0,1.0
Len Feed Bouts,,5.0,5.0,5.0,5.0
Lico,,1263.0,1263.0,1263.0,1263.0
Num Lico Bouts,,22.0,22.0,22.0,22.0
Len Lico Bouts,,56.18181818181818,56.18181818181818,56.18181818181818,56.18181818181818
""
