Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,feeder_habituation_10s,,6,,Cck57-hab,0.000,0,0,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,0.005,0,1,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,0.010,1,2,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,2.545,2,3,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,2.585,3,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,2.600,3,4,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,2.660,4,5,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,2.700,5,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,2.730,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,116.480,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,116.525,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,160.380,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,160.440,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,161.335,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,161.385,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,314.305,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,314.355,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,315.480,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,315.505,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,315.510,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,315.575,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,315.595,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,315.615,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,316.540,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,316.595,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,318.160,4,0,0,0,0,0,1,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,318.670,4,0,0,0,0,0,0,0,0,0,1
,,feeder_habituation_10s,,6,,Cck57-hab,640.825,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,640.880,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,651.295,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,651.380,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,746.620,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,746.645,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,748.430,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,748.435,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,800.270,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,801.010,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,801.050,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,801.115,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,803.255,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,807.235,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,807.285,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,808.575,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,808.640,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,817.340,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,817.965,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,827.965,5,2,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,828.430,2,3,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,828.470,3,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,828.485,3,4,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,828.505,4,5,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,833.705,5,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,833.745,5,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,838.505,5,2,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,841.510,2,3,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,841.565,3,4,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,871.015,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,871.065,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,893.335,4,0,0,0,0,0,1,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,894.570,4,0,0,0,0,0,0,0,0,0,1
,,feeder_habituation_10s,,6,,Cck57-hab,894.575,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,894.595,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,894.600,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,894.630,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,924.235,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,924.390,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,924.470,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,928.370,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,929.365,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,930.725,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,931.155,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,941.155,5,2,0,0,0,0,0,0,0,0,0
