Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,Feeder_30hab90off,,8,,Grp55T7-WD,1819.04,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1904.61,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1905.45,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1906.675,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1906.945,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.27,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.345,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.45,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.565,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.66,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.775,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.88,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1907.99,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.1,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.235,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.35,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.465,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.575,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.69,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.795,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1908.91,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.03,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.13,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.25,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.365,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.485,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.605,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.725,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.835,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1909.96,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.065,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.2,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.31,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.445,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.55,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.665,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.785,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1910.895,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.16,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.27,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.405,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.51,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.63,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.74,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.865,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1911.97,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.095,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.23,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.35,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.47,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.585,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.705,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.845,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1912.965,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.085,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.215,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.385,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.645,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.755,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.84,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.89,4,0,0,1,0,0,0,0,0,0,0
,,Feeder_30hab90off,,8,,Grp55T7-WD,1913.945,4,0,0,1,0,0,0,0,0,0,0
